NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Study Type
NCT06113744,A Phase 1 Study to Evaluate the Safety and Immunogenicity of COVID-19 Vaccine,https://clinicaltrials.gov/study/NCT06113744,RECRUITING,SARS-CoV-2 Infection,"BIOLOGICAL: Placebo|BIOLOGICAL: COVID-19 Vaccine (Vero Cell) ,Inactivated|BIOLOGICAL: COVID-19 mRNA Vaccine (ZSVG-02-O) 10 μg|BIOLOGICAL: COVID-19 mRNA Vaccine (ZSVG-02-O) 30 μg|BIOLOGICAL: COVID-19 mRNA Vaccine (ZSVG-02-O) 60 μg",CNBG-Virogin Biotech (Shanghai) Ltd.,Shulan (Hangzhou) Hospital,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06113731,A PhaseⅡ Study to Evaluate the Safety and Immunogenicity of COVID-19 Vaccine,https://clinicaltrials.gov/study/NCT06113731,RECRUITING,SARS-CoV-2 Infection,"BIOLOGICAL: COVID-19 mRNA Vaccine (ZSVG-02-O)|BIOLOGICAL: COVID-19 mRNA Vaccine (ZSVG-02-O)|BIOLOGICAL: COVID-19 Vaccine (Vero Cell) ,Inactivated",CNBG-Virogin Biotech (Shanghai) Ltd.,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06107348,COVID-19 Post-Vaccination Observation,https://clinicaltrials.gov/study/NCT06107348,ACTIVE_NOT_RECRUITING,Immune System Diseases|COVID-19 Vaccine Adverse Reaction|Immune System Disorder,,"Yang I. Pachankis, PhD",,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06086405,ECMO Braile Biomédica® in COVID-19 Patients,https://clinicaltrials.gov/study/NCT06086405,RECRUITING,COVID-19,DEVICE: Patients underwent cardiorespiratory support,Braile Biomedica Ind. Com. e Repr. Ltda.,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06085924,A Study to Learn About Effects of Living With COVID-19 and the Use of the Medicines Nirmatrelvir-Ritonavir in Treating COVID-19.,https://clinicaltrials.gov/study/NCT06085924,RECRUITING,COVID-19,DRUG: SoC|OTHER: Disease description,Pfizer,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06080750,Potential Role of Inflammasome NLRP3 And IL-1B Gene Expression in COVID-19 Patients: Impact of Ferretin and D -Dimer.,https://clinicaltrials.gov/study/NCT06080750,RECRUITING,Inflammasome NLRP3 And IL-1B Gene Expression in COVID-19 Patients,GENETIC: Quantitative Real Time Polymerase chain reaction (qRT-PCR)|DIAGNOSTIC_TEST: ELISA and colorimeter,Assiut University,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06050460,SA55 Injection: a Potential Therapy for the Prevention and Treatment of COVID-19,https://clinicaltrials.gov/study/NCT06050460,RECRUITING,COVID-19,DRUG: SA55 Injection|OTHER: Placebo for SA55 injection,"Sinovac Life Sciences Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06047067,Bioaerosol Sampling Device (BSD) Clinical Study,https://clinicaltrials.gov/study/NCT06047067,RECRUITING,COVID-19,,"Cantor BioConnect, Inc.","3M|Biomedical Advanced Research and Development Authority|JPRA Enterprises, LLC",ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06042881,Retrospective Cohort Study of the Physiotherapy in Critically Ill Covid Patients,https://clinicaltrials.gov/study/NCT06042881,RECRUITING,COVID-19,,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06042790,Patients´ Mental and Physical Health After Covid-19 Treated in ICU in Sweden,https://clinicaltrials.gov/study/NCT06042790,ACTIVE_NOT_RECRUITING,Quality of Life|Intensive Care Unit Syndrome,,Swedish Intensive Care Registry,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06042751,"Psychosomatic, Physical Activity or Both for Post-covid19 Syndrom",https://clinicaltrials.gov/study/NCT06042751,RECRUITING,Post-COVID-19 Syndrome,BEHAVIORAL: Exercise Therapy|BEHAVIORAL: Psychotherapy,Hannover Medical School,Health Insurance Audi BKK|occupational health service Volkswagen AG|Helmholtz Centre for Infection Research,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05582239,Measure of Vaccine Effectiveness to Prevent Hospitalizations for Viral Respiratory Infections in Adults,https://clinicaltrials.gov/study/NCT05582239,RECRUITING,Severe Acute Respiratory Infection (SARI)|Influenza|COVID-19,,"ANRS, Emerging Infectious Diseases","P95|I-REIVAC|EPICONCEPT|Institut de Recherche en Santé Publique, France",ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06036134,Reducing COVID-19 Vaccine Hesitancy Among Hispanic Parents,https://clinicaltrials.gov/study/NCT06036134,RECRUITING,"Vaccine-Preventable Diseases|COVID-19 Pandemic|Health-Related Behavior|Health Knowledge, Attitudes, Practice|Narration",BEHAVIORAL: Baseline surveys|BEHAVIORAL: Digital Storytelling Intervention|BEHAVIORAL: Information Control Intervention,Arizona State University,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06026514,Phase I Safety Study of B/HPIV3/S-6P Vaccine Via Nasal Spray in Adults,https://clinicaltrials.gov/study/NCT06026514,ACTIVE_NOT_RECRUITING,SARS-CoV-2 Infection,BIOLOGICAL: B/HPIV3/S-6P,National Institute of Allergy and Infectious Diseases (NIAID),Johns Hopkins Bloomberg School of Public Health|National Institutes of Health (NIH),ALL,ADULT,INTERVENTIONAL
NCT06012552,"Randomized, Double-blind, Placebo-controlled Trial of the Efficacy and Safety of Tianeptine in the Treatment of Covid Fog Symptoms in Patients After COVID-19.",https://clinicaltrials.gov/study/NCT06012552,RECRUITING,Nervous System Diseases,DRUG: Tianeptine|DRUG: Placebo,Military Institute od Medicine National Research Institute,ABM Industries,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06008860,A Pilot Clinical Evaluation of Astepro® Nasal Spray for Management of Early SARS-CoV-2 Infection,https://clinicaltrials.gov/study/NCT06008860,RECRUITING,COVID-19,DRUG: Experimental: Primary Cohort|OTHER: Placebo Comparator: Primary Cohort - Placebo,University of Chicago,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06006884,A Study of Post COVID-19 Mechanisms for Chronic Lung Sequelae,https://clinicaltrials.gov/study/NCT06006884,RECRUITING,COVID-19,PROCEDURE: Bronchoscopies and Bronchoalveolar Lavages (BALs)|DIAGNOSTIC_TEST: Chest Tomography (CT)|DIAGNOSTIC_TEST: Electrocardiogram (ECG)|DIAGNOSTIC_TEST: Pulmonary function tests (PFTs)|DIAGNOSTIC_TEST: 6 minute walk test (6MWT),Mayo Clinic,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06006845,Time to Initiated Antitumor Therapy for Tumor Patients With COVID19 Infection,https://clinicaltrials.gov/study/NCT06006845,RECRUITING,Tumor|COVID-19,,The Seventh Affiliated Hospital of Sun Yat-sen University,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06006611,Risk Factors for Severe Disease in Hospitalized Patients With COVID-19 and the Effect of Azvudine Treatment: a Retrospective Cohort Study,https://clinicaltrials.gov/study/NCT06006611,ACTIVE_NOT_RECRUITING,COVID-19,DRUG: Azvudine,"Fifth Affiliated Hospital, Sun Yat-Sen University",,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05997511,"Leveraging Community Health Workers to Combat COVID-19 and Mental Health Misinformation in Haiti, Malawi, and Rwanda",https://clinicaltrials.gov/study/NCT05997511,ACTIVE_NOT_RECRUITING,Mental Health|COVID-19|Misinformation,BEHAVIORAL: Card-Sorting Activity (Pre-intervention design)|BEHAVIORAL: SMS Crafting (Pre-intervention design)|BEHAVIORAL: SMS Messaging,Harvard Medical School (HMS and HSDM),Partners in Health,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05993325,Immunogenicity and Safety of AdCLD-CoV19-1 OMI As a Booster: a COVID-19 Preventive Vaccine in Healthy Volunteers,https://clinicaltrials.gov/study/NCT05993325,ACTIVE_NOT_RECRUITING,COVID-19|Vaccines,BIOLOGICAL: AdCLD-CoV19-1 OMI|BIOLOGICAL: Comirnaty Bivalent 0.1mg/mL (tozinameran and riltozinameran),"Cellid Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05986435,Long-term Follow-up Study of COVID-19,https://clinicaltrials.gov/study/NCT05986435,RECRUITING,COVID-19,,Tongji Hospital,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05973084,COVID-19 Transmission and Morbidity in Malawi,https://clinicaltrials.gov/study/NCT05973084,RECRUITING,SARS CoV 2 Infection|SARS CoV 2 Vaccination,,Boston University,"National Institute of Allergy and Infectious Diseases (NIAID)|Malaria Alert Center, Kamuzu University of Health Sciences|Burnet Institute",ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05954286,PROTECT-APT 1: Early Treatment and Post-Exposure Prophylaxis of COVID-19,https://clinicaltrials.gov/study/NCT05954286,ACTIVE_NOT_RECRUITING,SARS-CoV-2,DRUG: Upamostat|DRUG: Placebo (PO),Henry M. Jackson Foundation for the Advancement of Military Medicine,"Joint Program Executive Office Chemical, Biological, Radiological, and Nuclear Defense Enabling Biotechnologies|RedHill Biopharma Limited|FHI Clinical, Inc.",ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05951920,"Lymph Node Aspiration to Decipher the Immune Response of Beta-variant Recombinant Protein Booster Vaccine (VidPrevtyn Beta, Sanofi) Compared to a Bivalent mRNA Vaccine (Comirnaty Original/Omicron BA.4-5, BioNTech-Pfizer) in Adults Previously Vaccinated With at Least 3 Doses of COVID-19 mRNA Vaccine.",https://clinicaltrials.gov/study/NCT05951920,RECRUITING,COVID-19,PROCEDURE: Lymph node aspiration / Blood sampling,Assistance Publique - Hôpitaux de Paris,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05947643,Smell in COVID-19 and Efficacy of Nasal Theophylline (SCENT 3),https://clinicaltrials.gov/study/NCT05947643,ACTIVE_NOT_RECRUITING,COVID-19,DRUG: theophylline|DRUG: Placebo,Washington University School of Medicine,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05943743,Hiccups and Obstacles Of E-Learning Among Medical Sudents,https://clinicaltrials.gov/study/NCT05943743,RECRUITING,Covid-19|E-learning|Medical Student,OTHER: Google form,Bahria University,,ALL,ADULT,OBSERVATIONAL
NCT05928468,The Safety and Immunogenicity Following a Heterologous Booster Dose of Recombinant SARS-CoV-2 Vaccine LYB002,https://clinicaltrials.gov/study/NCT05928468,ACTIVE_NOT_RECRUITING,COVID-19,BIOLOGICAL: LYB002V14|BIOLOGICAL: LYB002V14A|BIOLOGICAL: LYB002CA,"Guangzhou Patronus Biotech Co., Ltd.","Yantai Patronus Biotech Co., Ltd.|Afﬁliated Hospital of North Sichuan Medical College",ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05928455,The Immunogenicity and Safety Following a Heterologous Booster Dose of Recombinant SARS-CoV-2 Vaccine LYB001,https://clinicaltrials.gov/study/NCT05928455,ACTIVE_NOT_RECRUITING,COVID-19|Vaccine Reaction,BIOLOGICAL: LYB001|BIOLOGICAL: CoronaVac,"Guangzhou Patronus Biotech Co., Ltd.","Yantai Patronus Biotech Co., Ltd.|Afﬁliated Hospital of North Sichuan Medical College",ALL,ADULT,INTERVENTIONAL
NCT05911100,"State of Oxygen Metabolism, Cardiovascular and Respiratory System Reserve Capacity in Patients Who Underwent COVID-19",https://clinicaltrials.gov/study/NCT05911100,ACTIVE_NOT_RECRUITING,Covid19|COVID19 Infection,DIAGNOSTIC_TEST: Spirography and assessment of pulmonary diffusion capacity|DIAGNOSTIC_TEST: Cardiopulmonary stress test|DIAGNOSTIC_TEST: Computed tomography of the chest organs|DIAGNOSTIC_TEST: Heart echocardiography|OTHER: SF-36 Quality of Life Questionnaire|DIAGNOSTIC_TEST: Demographic and antropometric measures|OTHER: Indicators characterizing the severity of the underlying disease,Meshalkin Research Institute of Pathology of Circulation,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05908071,Study Evaluating SHEN26 Capsule in Patients With Mild to Moderate COVID-19,https://clinicaltrials.gov/study/NCT05908071,RECRUITING,COVID-19,DRUG: SHEN26 capsule|DRUG: SHEN26 placebo,"Shenzhen Kexing Pharmaceutical Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05908045,Have Physical Therapists Attitudes and Beliefs Towards Vital Assessment Changed Following the COVID-19 Pandemic?,https://clinicaltrials.gov/study/NCT05908045,RECRUITING,Vital Signs,OTHER: KAP Survey,Youngstown State University,Duke University,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05905380,Covid-19 Convalescent Plasma and Monoclonal Antibodies Treatment of Immunocompromised Patients,https://clinicaltrials.gov/study/NCT05905380,RECRUITING,COVID-19 Convalescent Plasma Treatment,,"University Hospital, Strasbourg, France",,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05904067,A Study to Evaluate the Safety and Efficacy of COVID-19 Convalescent Plasma (CCP) Transfusion to Prevent COVID-19 in Adult Recipients Following Hematopoietic Stem Cell Transplantation,https://clinicaltrials.gov/study/NCT05904067,RECRUITING,COVID-19|Hematopoietic Stem Cell Transplantation,BIOLOGICAL: COVID Convalescent Plasma,"Institute of Hematology & Blood Diseases Hospital, China",,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05898529,COVID Infection in Pediatric Surgical Patient,https://clinicaltrials.gov/study/NCT05898529,RECRUITING,COVID-19,DIAGNOSTIC_TEST: Rapid antigen test,Salem Anaesthesia Pain Clinic,,ALL,CHILD,OBSERVATIONAL
NCT05894655,Community-engaged Optimization of COVID-19 Rapid Evaluation and TEsting Experiences,https://clinicaltrials.gov/study/NCT05894655,RECRUITING,COVID-19|COVID-19 Pandemic,"BEHAVIORAL: COVID-19 walk-up, on-site testing strategy|BEHAVIORAL: Community Health Worker (CHW) leading testing navigation and general preventive care reminders|BEHAVIORAL: No-cost self-testing kit vending machines","University of California, San Diego",San Ysidro Health Center,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05892549,COVID-19: Early Detection of Worsening by Voice and Respiratory Pattern Characteristics,https://clinicaltrials.gov/study/NCT05892549,RECRUITING,Sars-CoV-2 Infection|COVID-19,DEVICE: COVOICE application use - initial|DEVICE: COVOICE application use - follow-up,Direction Centrale du Service de Santé des Armées,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05889793,Evaluating Emetine for Viral Outbreaks (EVOLVE),https://clinicaltrials.gov/study/NCT05889793,RECRUITING,COVID-19,DRUG: Emetine Hydrochloride|DRUG: Placebo,Johns Hopkins University,Nepal Health Research Council|Bharatpur Hospital Chitwan|Stony Brook University|Rutgers University,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05886816,Mitoquinone/mitoquinol Mesylate As Oral and Safe Postexposure Prophylaxis for Covid-19,https://clinicaltrials.gov/study/NCT05886816,RECRUITING,SARS-CoV Infection|COVID-19,DRUG: Mitoquinone/mitoquinol mesylate|OTHER: Placebo,University of Texas Southwestern Medical Center,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05886790,A Clinical Trial on Booster Immunization of Two COVID-19 Vaccines Constructed From Different Technical Routes,https://clinicaltrials.gov/study/NCT05886790,RECRUITING,COVID-19,BIOLOGICAL: Prototype and Omicron BA.4/5 Bivalent Recombinant COVID-19 Vaccine(Adenovirus Type 5 Vector) For Inhalation|BIOLOGICAL: Bivalent COVID-19 mRNA Vaccine|BIOLOGICAL: Recombinant COVID-19 Vaccine (Adenovirus Type 5 Vector) For Inhalation,Zhongnan Hospital,"Institute of Biotechnology, Academy of Military Medical Sciences, PLA of China",ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05880108,Modifying Adiposity Through Behavioral Strategies to Improve COVID-19 Rehabilitation,https://clinicaltrials.gov/study/NCT05880108,RECRUITING,Post-COVID Conditions|Obesity,BEHAVIORAL: 12-weeks of Weight Loss|BEHAVIORAL: 12-weeks of Weight Stability,VA Office of Research and Development,South Texas Veterans Health Care System|Baltimore VA Medical Center,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05863884,RADx-UP- Impact of Community Health Worker Deployment,https://clinicaltrials.gov/study/NCT05863884,ACTIVE_NOT_RECRUITING,"Diabetes|COVID-19|Community Health Workers|Health Behavior|Health Knowledge, Attitudes, Practice",BEHAVIORAL: Impact of Community Health Worker Home Deployment on COVID-19 Vaccine Confidence and Uptake,Morehouse School of Medicine,,ALL,ADULT,INTERVENTIONAL
NCT05862480,Use of a Hypochlorous Acid Spray Solution in the Treatment of COVID-19 Patients : COVICONTROL Study .,https://clinicaltrials.gov/study/NCT05862480,RECRUITING,SARS CoV 2 Infection,OTHER: Spray with Hypochlorous Acid Group|OTHER: Spray with Placebo Group,University of Monastir,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05855395,The Standard of Care Combined With Glucocorticoid in Elderly People With Mild or Moderate COVID-19,https://clinicaltrials.gov/study/NCT05855395,RECRUITING,COVID-19,DRUG: Glucocorticoid,Huashan Hospital,,ALL,OLDER_ADULT,INTERVENTIONAL
NCT05855330,Arginine Replacement Therapy in COVID-19,https://clinicaltrials.gov/study/NCT05855330,RECRUITING,COVID-19,DRUG: Arginine Hydrochloride,Emory University,,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT05848427,The LUSZ COVID-19 Severity Index: A Prognostic and Predictive Score of Mortality for Hospitalized Patients With Covid-19,https://clinicaltrials.gov/study/NCT05848427,RECRUITING,COVID-19,OTHER: LUSZ P,Lebanese University,Hospital Saydet Zgharta University Medical Center,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05841485,COVID-19 Microvascular Evaluation Trial,https://clinicaltrials.gov/study/NCT05841485,RECRUITING,COVID-19|Coronary Microvascular Dysfunction,DIAGNOSTIC_TEST: Assessment of coronary microvascular dysfunction using intracoronary pressure-temperature wire,Lithuanian University of Health Sciences,Klaipėda University,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT02735707,"Randomized, Embedded, Multifactorial Adaptive Platform Trial for Community- Acquired Pneumonia",https://clinicaltrials.gov/study/NCT02735707,RECRUITING,"Community-acquired Pneumonia, Influenza, COVID-19",DRUG: Ceftriaxone|DRUG: Moxifloxacin or Levofloxacin|DRUG: Piperacillin-tazobactam|DRUG: Ceftaroline|DRUG: Amoxicillin-clavulanate|DRUG: Standard course macrolide|DRUG: Extended course macrolide|OTHER: No systemic corticosteroid|DRUG: Fixed-duration Hydrocortisone|DRUG: Shock-dependent hydrocortisone|DRUG: Fixed-duration higher dose Hydrocortisone|OTHER: No antiviral agent for influenza|DRUG: Five-days oseltamivir|DRUG: Ten-days oseltamivir|OTHER: No antiviral agent for COVID-19|DRUG: Lopinavir / Ritonavir|DRUG: Hydroxychloroquine|DRUG: Hydroxychloroquine + lopinavir/ritonavir|DRUG: Ivermectin|OTHER: No immune modulation for COVID-19|DRUG: Interferon beta-1a|DRUG: Anakinra|DRUG: Tocilizumab|DRUG: Sarilumab|DRUG: Local standard venous thromboprophylaxis|DRUG: Therapeutic dose anticoagulation|DRUG: Conventional low dose thromboprophylaxis|DRUG: Intermediate dose thromboprophylaxis|DRUG: Continuation of therapeutic dose anticoagulation|OTHER: No immunoglobulin|BIOLOGICAL: Convalescent plasma|BIOLOGICAL: Delayed administration of convalescent plasma|OTHER: No vitamin C|DRUG: Vitamin C|OTHER: No antiplatelet|DRUG: Aspirin|DRUG: P2Y12 inhibitor|OTHER: No simvastatin|DRUG: Simvastatin|DRUG: Eritoran|DRUG: Apremilast|PROCEDURE: Clinician-preferred mechanical ventilation strategy|PROCEDURE: Protocolised mechanical ventilation strategy|OTHER: No renin-angiotensin system inhibitor|DRUG: Angiotensin converting enzyme inhibitor|DRUG: Angiotensin Receptor Blockers|DRUG: ARB + DMX-200|OTHER: No cysteamine|DRUG: Cysteamine|DRUG: Fixed-duration dexamethasone|DRUG: Baloxavir Marboxil|DRUG: Five-days oseltamivir + baloxavir marboxil|DRUG: Ten-days oseltamivir + baloxavir marboxil|OTHER: No endothelial modulator|DRUG: Imatinib|OTHER: No Immune Modulator for Influenza|DRUG: Tocilizumab|DRUG: Baricitinib|OTHER: No antiviral agent for COVID-19|DRUG: Nirmatrelvir/ritonavir|DRUG: Remdesivir|DRUG: Nirmatrelvir/ritonavir + remdesivir,UMC Utrecht,"Australian and New Zealand Intensive Care Research Centre|Medical Research Institute of New Zealand|Unity Health|Berry Consultants|Global Coalition for Adaptive Research|University of Pittsburgh Medical Center|Intensive Care National Audit & Research Centre|St. Marianna University School of Medicine|Nat Intensive Care Surveillance - MORU|National University Hospital, Singapore",ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05802875,Building Resilience During the COVID-19 Pandemic: a Randomized Controlled Trial,https://clinicaltrials.gov/study/NCT05802875,RECRUITING,"Healthy|COVID-19|Distress, Emotional",BEHAVIORAL: RASMUS Resilience Training|BEHAVIORAL: Progressive Muscle Relaxation,Medical University Innsbruck,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05799521,A Nasal Treatment for COVID-19,https://clinicaltrials.gov/study/NCT05799521,RECRUITING,COVID-19,DRUG: Optate|DRUG: Placebo,Indiana University,,ALL,ADULT,INTERVENTIONAL
NCT05799482,"Exploring the Experiences, Expectations and Preferences of Patients With the UHS COVID-19 Follow-up Clinic",https://clinicaltrials.gov/study/NCT05799482,RECRUITING,COVID-19,OTHER: Qualitative Interview,University Hospital Southampton NHS Foundation Trust,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05793723,Long-term Respiratory Complications in Infants With Perinatal COVID-19,https://clinicaltrials.gov/study/NCT05793723,ACTIVE_NOT_RECRUITING,"COVID-19|Infant, Newborn, Diseases|Respiratory Function Tests",DIAGNOSTIC_TEST: Pulmonary function testing device,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,,ALL,CHILD,OBSERVATIONAL
NCT05787366,Effect of a Health Pathway for People With Persistent Symptoms Covid-19,https://clinicaltrials.gov/study/NCT05787366,RECRUITING,COVID-19,OTHER: usual care and follow-up by a nurse|OTHER: Personalized Multifactorial Intervention (IMP),Centre Hospitalier Universitaire de Saint Etienne,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05787327,RCT for Yinqiaosan-Maxingganshitang in the Treatment of COVID-19,https://clinicaltrials.gov/study/NCT05787327,RECRUITING,COVID-19,DRUG: Chinese Herb|DIAGNOSTIC_TEST: Placebo,Chinese University of Hong Kong,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05770505,Use of E-health Based Exercise Intervention After COVID-19,https://clinicaltrials.gov/study/NCT05770505,ACTIVE_NOT_RECRUITING,COVID-19,BEHAVIORAL: Exercise training using an e-health tool,Norwegian University of Science and Technology,University of Oslo,ALL,ADULT,INTERVENTIONAL
NCT05770440,Impact of COVID-19 on Lung Function in COPD Patients.,https://clinicaltrials.gov/study/NCT05770440,RECRUITING,COPD|COVID-19,,Fundacio d'Investigacio en Atencio Primaria Jordi Gol i Gurina,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05307562,Efficacy of Respiratory Rehabilitation After COVID-19 Severe Infection,https://clinicaltrials.gov/study/NCT05307562,ACTIVE_NOT_RECRUITING,COVID-19 Respiratory Infection|Rehabilitation|Physical Therapists,OTHER: Interval training + analytical strength|OTHER: Interval training + analytical strength and IMT,Institut d'Investigació Biomèdica de Girona Dr. Josep Trueta,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05749926,"Immunogenicity and Reactogenicity of the Beta-variant Recombinant Protein Booster Vaccine (VidPrevtyn Beta, Sanofi) Compared to a Bivalent mRNA Vaccine (Comirnaty Original/Omicron BA.4-5, BioNTech-Pfizer) in Adults Previously Vaccinated With at Least 3 Doses of COVID-19 mRNA Vaccine",https://clinicaltrials.gov/study/NCT05749926,ACTIVE_NOT_RECRUITING,Vaccine Reaction|COVID-19,BIOLOGICAL: Comirnaty® BNT162b2 /Omicron BA.4-5 vaccine (Pfizer-BioNTech)|BIOLOGICAL: VidPrevtyn® Beta vaccine (Sanofi/GSK),Assistance Publique - Hôpitaux de Paris,IREIVAC/COVIREIVAC Network,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05747638,Study of Children's Well-being After the COVID-19 Pandemic in Belgian French-speaking Primary Schools,https://clinicaltrials.gov/study/NCT05747638,ACTIVE_NOT_RECRUITING,Well-being,BEHAVIORAL: Revised Children's Manifest Anxiety Scale (RCMAS),Université Catholique de Louvain,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05745805,Cohort Follow-up of Epidemic and Neuroimaging for Patients During the 1st Wave of the COVID-19 in China,https://clinicaltrials.gov/study/NCT05745805,RECRUITING,COVID-19|Post-COVID-19 Syndrome|Acute COVID-19|Post-Acute COVID-19,"DEVICE: Simultaneous cortico-spinal magnetic resonance imaging, Serum",First Affiliated Hospital Xi'an Jiaotong University,Nuclear 215 Hospital of Shaanxi Province|Yanan Traditional Chinese Medicine Hospital|Shangluo Central Hospital|Xian QinHuang Hospital|Yulin No.2 Hospital|Hanzhong Central Hospital|Ankang Central Hospital|Baoji High-tech Hospital,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05736822,The Impact of the COVID-19 Pandemic on the Patient in Need of an Intervention,https://clinicaltrials.gov/study/NCT05736822,RECRUITING,"Surgical Procedures, Operative|COVID-19|SARS-CoV-2",,University Medical Center Groningen,ZonMw: The Netherlands Organisation for Health Research and Development,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05731817,Profile of COVID-19 Patients Related to Fatigue,https://clinicaltrials.gov/study/NCT05731817,RECRUITING,COVID-19,OTHER: Observational study,Universidad de Granada,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05727215,Heterologous Booster Study of COVID-19 Protein Subunit Recombinant Vaccine in Children 12-17 Years of Age,https://clinicaltrials.gov/study/NCT05727215,ACTIVE_NOT_RECRUITING,COVID-19,BIOLOGICAL: SARS-CoV-2 subunit protein recombinant vaccine,PT Bio Farma,Universitas Padjadjaran,ALL,CHILD,INTERVENTIONAL
NCT05697068,Intervention to Prevent Household and Community Spread of COVID-19 Among Latinos,https://clinicaltrials.gov/study/NCT05697068,ACTIVE_NOT_RECRUITING,SARS-CoV-2 Infection,BEHAVIORAL: COVID Prevention Program (CPP),San Diego State University,Family Health Centers of San Diego,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05667597,Sars-COV-2 (COVID-19) Immunity in immunoCOmpromised Populations,https://clinicaltrials.gov/study/NCT05667597,ACTIVE_NOT_RECRUITING,SARS CoV 2 Infection|COVID-19,DIAGNOSTIC_TEST: Humoral immunity,Maria Goossens,Université Libre de Bruxelles|Institute of Tropical Medicine|Mensura EDPB|Erasme University Hospital,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05658523,COVID-19 Booster Study in Healthy Adults in Australia,https://clinicaltrials.gov/study/NCT05658523,ACTIVE_NOT_RECRUITING,COVID-19,BIOLOGICAL: Bivalent Moderna|BIOLOGICAL: Novavax,Murdoch Childrens Research Institute,Coalition for Epidemic Preparedness Innovations|The Peter Doherty Institute for Infection and Immunity,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
